TransactionID,OrderID,CustomerID,ProductID,SalesRepID,TransactionDate,Quantity,UnitPrice,Discount,PaymentMethod,ReturnFlag
TXN-0001,ORD-1001,CUST-101,PROD-A01,REP-01,2024-01-03,3,299.99,0.10,Credit Card,N
TXN-0002,ORD-1002,CUST-102,PROD-B02,REP-02,2024-01-05,1,149.50,0.00,PayPal,N
TXN-0003,ORD-1003,CUST-103,PROD-C03,REP-03,2024-01-08,5,89.00,0.05,Credit Card,N
TXN-0004,ORD-1004,CUST-101,PROD-D04,REP-01,2024-01-10,2,599.00,0.15,Wire Transfer,N
TXN-0005,ORD-1005,CUST-104,PROD-A01,REP-04,2024-01-12,4,299.99,0.10,Credit Card,N
TXN-0006,ORD-1006,CUST-105,PROD-E05,REP-02,2024-01-15,1,1200.00,0.00,Wire Transfer,N
TXN-0007,ORD-1007,CUST-102,PROD-B02,REP-03,2024-01-18,7,149.50,0.05,PayPal,N
TXN-0008,ORD-1008,CUST-106,PROD-C03,REP-05,2024-01-20,2,89.00,0.00,Credit Card,N
TXN-0009,ORD-1009,CUST-107,PROD-F06,REP-01,2024-01-22,1,2500.00,0.20,Wire Transfer,N
TXN-0010,ORD-1010,CUST-103,PROD-A01,REP-04,2024-01-25,6,299.99,0.10,Credit Card,N
TXN-0011,ORD-1011,CUST-108,PROD-G07,REP-02,2024-02-01,3,450.00,0.05,Credit Card,N
TXN-0012,ORD-1012,CUST-104,PROD-D04,REP-03,2024-02-04,1,599.00,0.00,PayPal,N
TXN-0013,ORD-1013,CUST-109,PROD-E05,REP-05,2024-02-06,2,1200.00,0.10,Wire Transfer,N
TXN-0014,ORD-1014,CUST-110,PROD-B02,REP-01,2024-02-09,5,149.50,0.00,Credit Card,N
TXN-0015,ORD-1015,CUST-101,PROD-H08,REP-04,2024-02-12,1,3200.00,0.15,Wire Transfer,N
TXN-0016,ORD-1016,CUST-105,PROD-C03,REP-02,2024-02-15,8,89.00,0.05,Credit Card,N
TXN-0017,ORD-1017,CUST-106,PROD-F06,REP-03,2024-02-18,1,2500.00,0.00,Wire Transfer,N
TXN-0018,ORD-1018,CUST-102,PROD-A01,REP-05,2024-02-20,4,299.99,0.10,PayPal,N
TXN-0019,ORD-1019,CUST-111,PROD-G07,REP-01,2024-02-22,2,450.00,0.05,Credit Card,N
TXN-0020,ORD-1020,CUST-107,PROD-D04,REP-04,2024-02-25,3,599.00,0.10,Wire Transfer,N
TXN-0021,ORD-1021,CUST-112,PROD-I09,REP-02,2024-03-01,1,780.00,0.00,Credit Card,N
TXN-0022,ORD-1022,CUST-108,PROD-A01,REP-03,2024-03-04,5,299.99,0.05,PayPal,N
TXN-0023,ORD-1023,CUST-109,PROD-J10,REP-05,2024-03-07,2,1850.00,0.15,Wire Transfer,N
TXN-0024,ORD-1024,CUST-103,PROD-B02,REP-01,2024-03-10,3,149.50,0.00,Credit Card,N
TXN-0025,ORD-1025,CUST-113,PROD-E05,REP-04,2024-03-13,1,1200.00,0.10,Wire Transfer,N
TXN-0026,ORD-1026,CUST-110,PROD-C03,REP-02,2024-03-16,6,89.00,0.05,Credit Card,N
TXN-0027,ORD-1027,CUST-114,PROD-H08,REP-03,2024-03-19,1,3200.00,0.20,Wire Transfer,Y
TXN-0028,ORD-1028,CUST-104,PROD-F06,REP-05,2024-03-22,2,2500.00,0.10,Wire Transfer,N
TXN-0029,ORD-1029,CUST-115,PROD-G07,REP-01,2024-03-25,4,450.00,0.00,Credit Card,N
TXN-0030,ORD-1030,CUST-111,PROD-I09,REP-04,2024-03-28,1,780.00,0.05,PayPal,N
TXN-0031,ORD-1031,CUST-101,PROD-J10,REP-02,2024-04-02,1,1850.00,0.15,Wire Transfer,N
TXN-0032,ORD-1032,CUST-116,PROD-A01,REP-03,2024-04-05,8,299.99,0.10,Credit Card,N
TXN-0033,ORD-1033,CUST-112,PROD-D04,REP-05,2024-04-08,2,599.00,0.05,PayPal,N
TXN-0034,ORD-1034,CUST-105,PROD-B02,REP-01,2024-04-11,5,149.50,0.00,Credit Card,N
TXN-0035,ORD-1035,CUST-117,PROD-E05,REP-04,2024-04-14,2,1200.00,0.10,Wire Transfer,N
TXN-0036,ORD-1036,CUST-113,PROD-C03,REP-02,2024-04-17,9,89.00,0.05,Credit Card,N
TXN-0037,ORD-1037,CUST-106,PROD-F06,REP-03,2024-04-20,1,2500.00,0.00,Wire Transfer,N
TXN-0038,ORD-1038,CUST-118,PROD-G07,REP-05,2024-04-23,3,450.00,0.15,Credit Card,N
TXN-0039,ORD-1039,CUST-107,PROD-H08,REP-01,2024-04-26,1,3200.00,0.20,Wire Transfer,Y
TXN-0040,ORD-1040,CUST-114,PROD-I09,REP-04,2024-04-29,2,780.00,0.05,PayPal,N
TXN-0041,ORD-1041,CUST-119,PROD-A01,REP-02,2024-05-02,6,299.99,0.10,Credit Card,N
TXN-0042,ORD-1042,CUST-108,PROD-J10,REP-03,2024-05-05,1,1850.00,0.00,Wire Transfer,N
TXN-0043,ORD-1043,CUST-120,PROD-B02,REP-05,2024-05-08,4,149.50,0.05,PayPal,N
TXN-0044,ORD-1044,CUST-109,PROD-D04,REP-01,2024-05-11,2,599.00,0.10,Credit Card,N
TXN-0045,ORD-1045,CUST-115,PROD-E05,REP-04,2024-05-14,1,1200.00,0.15,Wire Transfer,N
TXN-0046,ORD-1046,CUST-116,PROD-C03,REP-02,2024-05-17,7,89.00,0.00,Credit Card,N
TXN-0047,ORD-1047,CUST-110,PROD-F06,REP-03,2024-05-20,1,2500.00,0.05,Wire Transfer,N
TXN-0048,ORD-1048,CUST-117,PROD-G07,REP-05,2024-05-23,5,450.00,0.10,Credit Card,N
TXN-0049,ORD-1049,CUST-118,PROD-H08,REP-01,2024-05-26,1,3200.00,0.20,Wire Transfer,Y
TXN-0050,ORD-1050,CUST-119,PROD-I09,REP-04,2024-05-29,3,780.00,0.05,PayPal,N
TXN-0051,ORD-1051,CUST-101,PROD-A01,REP-02,2024-06-01,4,299.99,0.10,Credit Card,N
TXN-0052,ORD-1052,CUST-120,PROD-J10,REP-03,2024-06-04,1,1850.00,0.00,Wire Transfer,N
TXN-0053,ORD-1053,CUST-111,PROD-B02,REP-05,2024-06-07,6,149.50,0.05,PayPal,N
TXN-0054,ORD-1054,CUST-112,PROD-E05,REP-01,2024-06-10,2,1200.00,0.10,Wire Transfer,N
TXN-0055,ORD-1055,CUST-113,PROD-D04,REP-04,2024-06-13,1,599.00,0.00,Credit Card,N
TXN-0056,ORD-1056,CUST-102,PROD-C03,REP-02,2024-06-16,8,89.00,0.05,Credit Card,N
TXN-0057,ORD-1057,CUST-114,PROD-F06,REP-03,2024-06-19,1,2500.00,0.15,Wire Transfer,N
TXN-0058,ORD-1058,CUST-103,PROD-G07,REP-05,2024-06-22,3,450.00,0.00,Credit Card,N
TXN-0059,ORD-1059,CUST-115,PROD-H08,REP-01,2024-06-25,1,3200.00,0.10,Wire Transfer,N
TXN-0060,ORD-1060,CUST-116,PROD-I09,REP-04,2024-06-28,2,780.00,0.05,PayPal,N
